datapoints	percentage	call	xmin	xmax	xmean	bmin	bmax	bmean
11200	7.63	different	1.04	11.89	1.91	-18.66	-4.10	-5.87
11400	43.93	xtal-xtal	1.03	11.89	1.90	-18.66	-4.07	-5.84
11400	48.38	bio-bio	1.03	11.89	1.90	-18.66	-4.07	-5.84
11400	6.07	xtal-bio	1.03	11.89	1.90	-18.66	-4.07	-5.84
11400	1.62	bio-xtal	1.03	11.89	1.90	-18.66	-4.07	-5.84
11400	92.31	same	1.03	11.89	1.90	-18.66	-4.07	-5.84
11400	7.69	different	1.03	11.89	1.90	-18.66	-4.07	-5.84
11600	43.91	xtal-xtal	1.01	11.89	1.88	-18.66	-4.04	-5.81
11600	48.36	bio-bio	1.01	11.89	1.88	-18.66	-4.04	-5.81
11600	6.09	xtal-bio	1.01	11.89	1.88	-18.66	-4.04	-5.81
11600	1.64	bio-xtal	1.01	11.89	1.88	-18.66	-4.04	-5.81
11600	92.28	same	1.01	11.89	1.88	-18.66	-4.04	-5.81
11600	7.72	different	1.01	11.89	1.88	-18.66	-4.04	-5.81
11800	43.93	xtal-xtal	0.99	11.89	1.87	-18.66	-4.02	-5.78
11800	48.36	bio-bio	0.99	11.89	1.87	-18.66	-4.02	-5.78
11800	6.07	xtal-bio	0.99	11.89	1.87	-18.66	-4.02	-5.78
